                                                                                                 01 Nov 2019 01:44:29
Civil Air Patrol Use Only
Satellite-Satellite2:  J2000 Position & Velocity


       Time (UTCG)             x (km)          y (km)          z (km)       vx (km/sec)    vy (km/sec)    vz (km/sec)
------------------------    ------------    ------------    ------------    -----------    -----------    -----------
12 Nov 2018 00:00:02.485      263.104953    -3581.245826     5861.873607      -1.429120      -6.416205      -3.834165
12 Nov 2018 00:00:12.485      248.797960    -3645.187662     5823.173436      -1.432250      -6.372032      -3.905790
12 Nov 2018 00:00:22.485      234.460540    -3708.683874     5783.759402      -1.435205      -6.327081      -3.976936
12 Nov 2018 00:00:32.485      220.094447    -3771.726705     5743.636348      -1.437985      -6.281357      -4.047593
12 Nov 2018 00:00:42.485      205.701436    -3834.308455     5702.809203      -1.440588      -6.234866      -4.117753
12 Nov 2018 00:00:52.485      191.283268    -3896.421477     5661.282978      -1.443016      -6.187612      -4.187407
12 Nov 2018 00:01:02.485      176.841706    -3958.058185     5619.062774      -1.445267      -6.139604      -4.256547
12 Nov 2018 00:01:12.485      162.378515    -4019.211048     5576.153775      -1.447342      -6.090845      -4.325165
12 Nov 2018 00:01:22.485      147.895464    -4079.872597     5532.561246      -1.449239      -6.041342      -4.393252
12 Nov 2018 00:01:32.485      133.394323    -4140.035420     5488.290540      -1.450960      -5.991101      -4.460799
12 Nov 2018 00:01:42.485      118.876864    -4199.692169     5443.347090      -1.452503      -5.940128      -4.527799
12 Nov 2018 00:01:52.485      104.344863    -4258.835554     5397.736410      -1.453868      -5.888429      -4.594244
12 Nov 2018 00:02:02.485       89.800096    -4317.458352     5351.464098      -1.455056      -5.836011      -4.660124
12 Nov 2018 00:02:12.485       75.244342    -4375.553401     5304.535832      -1.456066      -5.782880      -4.725433
12 Nov 2018 00:02:22.485       60.679378    -4433.113603     5256.957369      -1.456897      -5.729043      -4.790162
12 Nov 2018 00:02:32.485       46.106987    -4490.131926     5208.734546      -1.457551      -5.674506      -4.854304
12 Nov 2018 00:02:42.485       31.528949    -4546.601406     5159.873278      -1.458027      -5.619275      -4.917850
12 Nov 2018 00:02:52.485       16.947046    -4602.515143     5110.379558      -1.458324      -5.563358      -4.980793
12 Nov 2018 00:03:02.485        2.363061    -4657.866307     5060.259458      -1.458443      -5.506762      -5.043125
12 Nov 2018 00:03:12.485      -12.221223    -4712.648135     5009.519125      -1.458384      -5.449492      -5.104838
12 Nov 2018 00:03:22.485      -26.804025    -4766.853936     4958.164780      -1.458147      -5.391557      -5.165926
12 Nov 2018 00:03:32.485      -41.383560    -4820.477087     4906.202721      -1.457731      -5.332964      -5.226380
12 Nov 2018 00:03:42.485      -55.958048    -4873.511038     4853.639321      -1.457137      -5.273718      -5.286193
12 Nov 2018 00:03:52.485      -70.525706    -4925.949308     4800.481025      -1.456365      -5.213829      -5.345358
12 Nov 2018 00:04:02.485      -85.084755    -4977.785492     4746.734349      -1.455415      -5.153302      -5.403867
12 Nov 2018 00:04:12.485      -99.633414    -5029.013257     4692.405885      -1.454287      -5.092146      -5.461714
12 Nov 2018 00:04:22.485     -114.169905    -5079.626345     4637.502293      -1.452982      -5.030368      -5.518892
12 Nov 2018 00:04:32.485     -128.692452    -5129.618571     4582.030305      -1.451498      -4.967975      -5.575393
12 Nov 2018 00:04:42.485     -143.199280    -5178.983829     4525.996720      -1.449838      -4.904976      -5.631210
12 Nov 2018 00:04:52.485     -157.688616    -5227.716087     4469.408409      -1.448000      -4.841377      -5.686337
12 Nov 2018 00:05:02.485     -172.158688    -5275.809391     4412.272308      -1.445985      -4.777186      -5.740767
12 Nov 2018 00:05:12.485     -186.607729    -5323.257867     4354.595423      -1.443794      -4.712412      -5.794493
12 Nov 2018 00:05:22.485     -201.033972    -5370.055716     4296.384822      -1.441426      -4.647062      -5.847509
12 Nov 2018 00:05:32.485     -215.435655    -5416.197223     4237.647642      -1.438882      -4.581145      -5.899808
12 Nov 2018 00:05:42.485     -229.811017    -5461.676750     4178.391082      -1.436162      -4.514668      -5.951383
12 Nov 2018 00:05:52.485     -244.158301    -5506.488740     4118.622406      -1.433266      -4.447639      -6.002230
12 Nov 2018 00:06:02.485     -258.475755    -5550.627718     4058.348941      -1.430195      -4.380067      -6.052340
12 Nov 2018 00:06:12.485     -272.761627    -5594.088294     3997.578074      -1.426950      -4.311960      -6.101709
12 Nov 2018 00:06:22.485     -287.014173    -5636.865155     3936.317254      -1.423530      -4.243326      -6.150330
12 Nov 2018 00:06:32.485     -301.231650    -5678.953078     3874.573991      -1.419936      -4.174173      -6.198197
12 Nov 2018 00:06:42.485     -315.412321    -5720.346920     3812.355853      -1.416169      -4.104511      -6.245304
12 Nov 2018 00:06:52.485     -329.554453    -5761.041623     3749.670465      -1.412229      -4.034347      -6.291646
12 Nov 2018 00:07:02.485     -343.656317    -5801.032218     3686.525513      -1.408116      -3.963690      -6.337216
12 Nov 2018 00:07:12.485     -357.716190    -5840.313819     3622.928735      -1.403830      -3.892550      -6.382010
