                                                                                                 05 Nov 2019 00:51:59
Civil Air Patrol Use Only
Satellite-Satellite1:  J2000 Position & Velocity


       Time (UTCG)             x (km)          y (km)          z (km)       vx (km/sec)    vy (km/sec)    vz (km/sec)
------------------------    ------------    ------------    ------------    -----------    -----------    -----------
12 Nov 2018 00:00:02.485      263.104944    -3581.245686     5861.873575      -1.429119      -6.416205      -3.834165
12 Nov 2018 00:00:12.485      248.797960    -3645.187522     5823.173403      -1.432249      -6.372032      -3.905790
12 Nov 2018 00:00:22.485      234.460549    -3708.683734     5783.759370      -1.435204      -6.327081      -3.976936
12 Nov 2018 00:00:32.485      220.094464    -3771.726565     5743.636316      -1.437984      -6.281357      -4.047593
12 Nov 2018 00:00:42.485      205.701462    -3834.308314     5702.809170      -1.440587      -6.234866      -4.117753
12 Nov 2018 00:00:52.485      191.283302    -3896.421337     5661.282946      -1.443015      -6.187612      -4.187407
12 Nov 2018 00:01:02.485      176.841749    -3958.058044     5619.062742      -1.445266      -6.139604      -4.256547
12 Nov 2018 00:01:12.485      162.378567    -4019.210908     5576.153742      -1.447341      -6.090845      -4.325165
12 Nov 2018 00:01:22.485      147.895524    -4079.872456     5532.561214      -1.449238      -6.041342      -4.393252
12 Nov 2018 00:01:32.485      133.394392    -4140.035280     5488.290508      -1.450959      -5.991101      -4.460799
12 Nov 2018 00:01:42.485      118.876942    -4199.692028     5443.347057      -1.452502      -5.940128      -4.527799
12 Nov 2018 00:01:52.485      104.344950    -4258.835414     5397.736378      -1.453867      -5.888429      -4.594244
12 Nov 2018 00:02:02.485       89.800192    -4317.458212     5351.464066      -1.455055      -5.836011      -4.660124
12 Nov 2018 00:02:12.485       75.244445    -4375.553260     5304.535799      -1.456065      -5.782880      -4.725433
12 Nov 2018 00:02:22.485       60.679491    -4433.113462     5256.957336      -1.456897      -5.729043      -4.790162
12 Nov 2018 00:02:32.485       46.107108    -4490.131786     5208.734512      -1.457550      -5.674506      -4.854304
12 Nov 2018 00:02:42.485       31.529078    -4546.601265     5159.873244      -1.458026      -5.619275      -4.917850
12 Nov 2018 00:02:52.485       16.947184    -4602.515002     5110.379524      -1.458323      -5.563358      -4.980793
12 Nov 2018 00:03:02.485        2.363208    -4657.866166     5060.259424      -1.458442      -5.506762      -5.043125
12 Nov 2018 00:03:12.485      -12.221068    -4712.647994     5009.519090      -1.458383      -5.449492      -5.104838
12 Nov 2018 00:03:22.485      -26.803861    -4766.853795     4958.164744      -1.458146      -5.391557      -5.165926
12 Nov 2018 00:03:32.485      -41.383388    -4820.476946     4906.202686      -1.457730      -5.332964      -5.226380
12 Nov 2018 00:03:42.485      -55.957867    -4873.510897     4853.639285      -1.457136      -5.273718      -5.286193
12 Nov 2018 00:03:52.485      -70.525517    -4925.949167     4800.480988      -1.456364      -5.213829      -5.345358
12 Nov 2018 00:04:02.485      -85.084557    -4977.785351     4746.734312      -1.455414      -5.153302      -5.403867
12 Nov 2018 00:04:12.485      -99.633208    -5029.013116     4692.405847      -1.454286      -5.092146      -5.461714
12 Nov 2018 00:04:22.485     -114.169691    -5079.626204     4637.502255      -1.452981      -5.030368      -5.518892
12 Nov 2018 00:04:32.485     -128.692230    -5129.618430     4582.030265      -1.451497      -4.967975      -5.575393
12 Nov 2018 00:04:42.485     -143.199049    -5178.983687     4525.996680      -1.449837      -4.904976      -5.631210
12 Nov 2018 00:04:52.485     -157.688376    -5227.715945     4469.408368      -1.447999      -4.841377      -5.686337
12 Nov 2018 00:05:02.485     -172.158441    -5275.809249     4412.272267      -1.445984      -4.777186      -5.740767
12 Nov 2018 00:05:12.485     -186.607473    -5323.257725     4354.595380      -1.443793      -4.712412      -5.794493
12 Nov 2018 00:05:22.485     -201.033708    -5370.055574     4296.384779      -1.441425      -4.647062      -5.847509
12 Nov 2018 00:05:32.485     -215.435383    -5416.197081     4237.647598      -1.438881      -4.581145      -5.899808
12 Nov 2018 00:05:42.485     -229.810737    -5461.676607     4178.391037      -1.436161      -4.514668      -5.951383
12 Nov 2018 00:05:52.485     -244.158013    -5506.488597     4118.622360      -1.433265      -4.447639      -6.002230
12 Nov 2018 00:06:02.485     -258.475458    -5550.627575     4058.348894      -1.430195      -4.380067      -6.052340
12 Nov 2018 00:06:12.485     -272.761322    -5594.088150     3997.578026      -1.426949      -4.311960      -6.101709
12 Nov 2018 00:06:22.485     -287.013860    -5636.865011     3936.317205      -1.423529      -4.243326      -6.150330
12 Nov 2018 00:06:32.485     -301.231329    -5678.952934     3874.573941      -1.419936      -4.174173      -6.198197
12 Nov 2018 00:06:42.485     -315.411992    -5720.346775     3812.355801      -1.416168      -4.104511      -6.245304
12 Nov 2018 00:06:52.485     -329.554116    -5761.041478     3749.670413      -1.412228      -4.034347      -6.291646
12 Nov 2018 00:07:02.485     -343.655972    -5801.032073     3686.525459      -1.408115      -3.963690      -6.337216
12 Nov 2018 00:07:12.485     -357.715838    -5840.313673     3622.928680      -1.403830      -3.892550      -6.382010
12 Nov 2018 00:07:22.485     -371.731995    -5878.881480     3558.887871      -1.399373      -3.820933      -6.426021
12 Nov 2018 00:07:32.485     -385.702729    -5916.730784     3494.410883      -1.394745      -3.748850      -6.469245
12 Nov 2018 00:07:42.485     -399.626335    -5953.856961     3429.505619      -1.389947      -3.676309      -6.511675
12 Nov 2018 00:07:52.485     -413.501110    -5990.255476     3364.180036      -1.384979      -3.603320      -6.553308
12 Nov 2018 00:08:02.485     -427.325359    -6025.921885     3298.442140      -1.379842      -3.529890      -6.594137
12 Nov 2018 00:08:12.485     -441.097393    -6060.851831     3232.299991      -1.374536      -3.456029      -6.634158
12 Nov 2018 00:08:22.485     -454.815528    -6095.041050     3165.761698      -1.369063      -3.381746      -6.673365
12 Nov 2018 00:08:32.485     -468.478089    -6128.485367     3098.835416      -1.363422      -3.307050      -6.711755
12 Nov 2018 00:08:42.485     -482.083406    -6161.180698     3031.529350      -1.357614      -3.231950      -6.749321
12 Nov 2018 00:08:52.485     -495.629817    -6193.123054     2963.851752      -1.351641      -3.156456      -6.786060
